ID,Affect, Article, Cause, Certain, Cogproc, Discrep, Insight, Motion, Negate, Negemo, They, SheHe, Prep, Ppron, Posemo, I, We, See, Hear, Social, Space, Tentat, Time, Conj, Excl, Incl, FocusPresent, FocusFuture, FocusPast, Differ, Reward, Risk, Quant, Compare, Swear, Netspeak, Interrog, You,Conj, Affiliation, Power,NN, NNP, PRP, PRP$, WP, DT, WDT, CD, RB, UH, VB, JJ, VBD, VBG, VBN, VBP, VBZ, MD,avg word length,Content Diversity,noun phrase count,noun phrase avg length,redundancy,sentences,words,big words,words captured %,syllables,syllables per word,flesh kincaid,fog index,smog index,avg words per sentence,NP avg length,stop words %,capital words,label
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,2,0,0.000300933,2,1,-3.01,0.8,3.1291,2,2,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0.5,1,3,0,0.000601866,3,1,-2.62,1.2,3.1291,3,1,0.333333333,1,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0.5,1,3,0,0.000601866,3,1,-2.62,1.2,3.1291,3,1,0.333333333,1,0
3,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,4.466666667,0.857142857,1,2,0.666666667,2,15,2,0.00210653,18,1.2,1.495,3,3.1291,7.5,2,0.357142857,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.8,1,2,1,0.666666667,1,5,2,0.000902799,7,1.4,2.88,2,3.1291,5,1,0.4,0,0
5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3.833333333,1,1,5,0.4,1,6,0,0.001203732,7,1.166666667,0.516666667,2.4,3.1291,6,5,0.166666667,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1,0,0,1,1,2,0,0.000601866,2,1,-3.01,0.8,3.1291,2,0,0.5,1,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,1,3,2.666666667,0.142857143,1,10,2,0.001504664,13,1.3,3.65,8,8.841846275,10,2.666666667,0.3,8,1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,1,0.000300933,2,2,8.4,0.4,3.1291,1,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,3,1,0.000601866,4,1.333333333,1.313333333,1.2,3.1291,3,1,0.5,1,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.857142857,4,1.5,0.166666667,2,8,1,0.000300933,11,1.375,2.195,1.6,3.1291,4,1.5,0.142857143,3,0
11,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3.166666667,1,1,2,1,3,6,1,0.001203732,7,1.166666667,-1.043333333,0.8,3.1291,2,2,0.5,0,0
12,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,3.3,1,1,2,1,1,10,0,0.00210653,11,1.1,1.29,4,3.1291,10,2,0.444444444,1,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,2,0,0.000300933,2,1,-3.01,0.8,3.1291,2,2,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,2,0,0.000300933,2,1,-3.01,0.8,3.1291,2,0,0,0,0
15,0,1,0,1,3,0,1,0,0,0,0,0,2,2,0,2,0,0,2,1,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,4.466666667,0.928571429,4,2.25,0.75,1,15,3,0.002407463,19,1.266666667,5.206666667,8.666666667,8.841846275,15,2.25,0.428571429,2,0
16,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3.875,1,1,1,2.5,2,8,1,0.001504664,9,1.125,-0.755,1.6,3.1291,4,1,0.666666667,0,0
17,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,4.4,1,1,2,0.375,2,10,1,0.00210653,12,1.2,0.52,2,3.1291,5,2,0.272727273,1,0
18,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.25,1,1,2,1.666666667,1,8,0,0.001504664,8,1,-0.67,3.2,3.1291,8,2,0.625,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.666666667,1,0,0,0,1,3,0,0.000300933,4,1.333333333,1.313333333,1.2,3.1291,3,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3.727272727,1,3,1.666666667,0.5,2,11,1,0.001504664,12,1.090909091,-0.572272727,2.2,3.1291,5.5,1.666666667,0.25,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,0,0.000300933,1,1,-3.4,0.4,3.1291,1,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.833333333,1,2,1.5,1,1,6,2,0.000601866,6,1,-1.45,2.4,3.1291,6,1.5,0.5,0,1
23,2,1,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,1,2,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3.75,1,1,2,1,1,12,0,0.002708396,12,1,0.89,4.8,3.1291,12,2,0.454545455,0,0
24,2,0,1,1,5,4,0,0,0,1,0,0,2,3,1,2,1,0,2,1,0,1,2,3,1,1,4,0,0,1,0,1,1,2,0,0,1,0,3,1,0,0,0,2,0,0,1,0,0,2,0,2,4,0,0,0,1,3,1,4.035714286,0.851851852,4,1.75,1.461538462,4,28,4,0.005717725,30,1.071428571,-0.217142857,2.8,3.1291,7,1.75,0.518518519,6,0
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,1,1,4,0,1,4,2,0.000601866,4,1,-2.23,1.6,3.1291,4,4,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.75,1,0,0,1,1,4,1,0.000902799,5,1.25,0.72,1.6,3.1291,4,0,0.333333333,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5.333333333,1,3,1.666666667,0.5,2,6,2,0.000601866,7,1.166666667,-0.653333333,1.2,3.1291,3,1.666666667,0.333333333,0,0
28,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.25,1,1,2,1,1,4,1,0.000601866,6,1.5,3.67,11.6,8.841846275,4,2,0.5,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,0,0.000300933,1,1,-3.4,0.4,3.1291,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4.125,1,1,2,2,2,8,1,0.001805597,9,1.125,-0.755,1.6,3.1291,4,2,0.571428571,1,0
31,6,15,1,1,2,0,0,2,0,2,1,0,29,13,4,0,8,0,0,25,14,0,10,7,0,5,13,0,6,0,0,3,1,0,0,0,0,4,7,12,8,30,0,4,2,0,4,0,0,1,0,2,5,5,2,0,2,0,10,5.010752688,0.49122807,54,1.907407407,0.776595745,12,186,45,0.027384893,269,1.446236559,7.520591398,10.9311828,10.86419502,15.5,1.907407407,0.450292398,2,1
32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,1,2,1.5,0.333333333,1,4,0,0.000902799,4,1,-2.23,1.6,3.1291,4,1.5,0.25,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,1,0.000300933,3,3,20.2,40.4,8.841846275,1,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,2,0,1,2,0,0.000300933,2,1,-3.01,0.8,3.1291,2,2,0,0,0
35,3,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.545454545,1,2,2,1.25,3,11,3,0.001504664,17,1.545454545,4.076363636,5.103030303,6.4273556,3.666666667,2,0.555555556,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333,1,2,1.5,1,1,6,1,0.000601866,6,1,-1.45,2.4,3.1291,6,1.5,0.5,0,1
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0.5,1,3,0,0.000300933,3,1,-2.62,1.2,3.1291,3,2,0.333333333,0,0
38,1,1,1,0,1,0,0,0,0,0,0,0,3,2,1,1,1,0,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,3.411764706,0.882352941,5,2.2,1.125,2,17,0,0.002407463,18,1.058823529,0.219117647,3.4,3.1291,8.5,2.2,0.529411765,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,2,0,0.000300933,2,1,-3.01,0.8,3.1291,2,2,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.666666667,1,0,0,1,1,3,1,0.000601866,4,1.333333333,1.313333333,1.2,3.1291,3,0,0.5,0,0
41,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,3.461538462,0.833333333,2,2,1,1,13,1,0.002708396,15,1.153846154,3.095384615,8.276923077,8.841846275,13,2,0.5,2,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1,1,2,0,1,2,1,0.000300933,3,1.5,2.89,0.8,3.1291,2,2,0,0,0
43,1,2,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3.111111111,0.777777778,2,2.5,1,1,9,0,0.001805597,9,1,-0.28,3.6,3.1291,9,2.5,0.555555556,0,0
44,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3.666666667,1,2,1.5,1.5,1,9,0,0.00210653,13,1.444444444,4.964444444,8.044444444,8.841846275,9,1.5,0.555555556,1,0
45,3,0,0,2,2,0,0,0,0,0,0,0,0,3,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,4.818181818,0.818181818,1,2,0.75,3,11,4,0.002407463,19,1.727272727,6.221818182,12.37575758,8.841846275,3.666666667,2,0.272727273,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.5,1,0,0,1,1,6,1,0.001203732,7,1.166666667,0.516666667,2.4,3.1291,6,0,0.25,0,0
47,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,2,1,1,4,0,0.000902799,4,1,-2.23,1.6,3.1291,4,2,0.5,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,1,0,0,1,1,-3.4,0.4,3.1291,1,1,0,0,0
49,2,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3.75,1,1,6,0.333333333,1,8,0,0.001203732,9,1.125,0.805,3.2,3.1291,8,6,0.25,1,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,1,3,0,1,4,1,0.000601866,5,1.25,0.72,1.6,3.1291,4,3,0,0,0
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4.842105263,0.857142857,7,1.142857143,0.444444444,3,19,4,0.001805597,27,1.421052632,3.648421053,6.743859649,7.793537801,6.333333333,1.142857143,0.357142857,1,1
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0.833333333,2,1,0.5,2,10,3,0.000601866,16,1.6,5.24,10,8.841846275,5,1,0.333333333,0,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0,0,0,1,2,0,0,4,2,8.79,0.8,3.1291,2,0,0,0,0
54,1,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0.875,0,0,3,1,8,2,0.001805597,12,1.5,5.23,13.2,11.20814326,8,0,0.75,0,0
55,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,1.5,1.5,1,7,1,0.001504664,8,1.142857143,0.625714286,2.8,3.1291,7,1.5,0.666666667,0,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,1,1,1,0,1,1,-3.4,0.4,3.1291,1,1,0,1,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3.9,0.875,0,0,0.8,2,10,2,0.001203732,12,1.2,0.52,2,3.1291,5,0,0.375,0,1
58,3,3,1,1,7,1,2,0,0,2,1,2,5,5,1,0,0,0,1,5,3,2,5,2,1,0,3,0,4,2,0,0,0,2,0,1,2,2,2,0,0,14,0,5,0,0,2,0,0,2,0,1,2,2,0,0,1,0,0,3.934782609,0.844444444,10,2.2,0.92,7,46,3,0.009027987,54,1.173913043,0.825031056,3.498136646,5.288315135,6.571428571,2.2,0.444444444,3,0
59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.183673469,1,2,48.5,0.666666667,2,98,0,0.000902799,98,1,15.32,19.6,3.1291,49,48.5,0.4,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333,1,2,1.5,1,1,6,1,0.000601866,6,1,-1.45,2.4,3.1291,6,1.5,0.5,0,1
61,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,1,0,0,2,1,3,0,0.000902799,3,1,-2.62,1.2,3.1291,3,0,0.666666667,1,0
